Organization,Latitude,Longitude,City,Open hours,DNR,"UNCLEAR public, staffed hours",Name of Contact,Email Address,Notes
Cave of the Mounds,43.01720125,-89.81411718,Blue Mounds,9-5 (Mon-Sun),N,Y,Mary Klopotic,mary@caveofthemounds.com,
Langlade County Forestry Department,45.15362606,-89.14693461,Antigo,7:30-4 (Mon-Fri),N,N,Tom Lazers,tlazers@co.langlade.wi.us,
Southern Wisconsin Bird Alliance,43.08088339,-89.37055256,Madison,9-4 (Mon-Fri),N,N,Mark Martin,goosep@madisonaudubon.org,
Lac Courte Oreilles,45.94355195,-91.36195754,Hayward,"8-4:30 (Mon-Fri), CLOSED (Sat, Sun)",N,N,Brett Mcconnell,brett.mcconnell@lco-nsn.gov,Tribal partner - not sure about rules of non-Tribal members going to visitor center etc but could be worth checking.
Iron County Forestry Department,46.45605094,-90.18309446,Hurley,Unclear but probably 8-4 (Mon-Fri),N,Y,Eric Peterson,icfadmin@ironcountyforest.org,Unclear if there are public access hours
Chippewa Falls Public Library,44.93547189,-91.39392753,Chippewa Falls,"9-7 (Mon-Thu), 9-5:30 (Fri), 9-1 (Sat), CLOSED (Sun)",N,N,Jessi Peterson,jlpeterson@mycfpl.org,
Brown County Parks,44.59895509,-88.03693624,Green Bay,"8-4 (Mon-Fri), Weekends unclear",N,N,Jason Petrella,petrella_jw@co.brown.wi.us,
Hawthorn Hollow Nature Sanctuary & Arboretum,42.65032328,-87.88048693,Kenosha,BEFORE NOV: 8-5 (Mon-Sun) AFTER NOV: 8-4 (Mon-Sun),N,Y,Ryan Retzke,ryan@hawthornhollow.org,I don't think they have public staffed hours
Waukesha County Dept of Parks and Land Use,43.02287139,-88.23001821,Waukesha,8-4:30 (Mon-Fri),N,N,Julia Robson,jrobson@waukeshacounty.gov,
Milwaukee County Parks Department,43.04626977,-88.03189684,Wauwatosa,8:30-4 (Mon-Fri),N,N,Brian Russart,brian.russart@milwaukeecountywi.gov,
The Nature Conservancy - Wisconsin Chapter,43.07318513,-89.38375762,Madison,Unclear but likely 8-4,N,Y,Rod Sharka,resharka@gmail.com,
Lake Ripley Management District,43.00763382,-88.96820555,Cambridge,8-4 (Mon-Fri),N,N,Lianna Spencer,lake.manager@tn.oakland.jefferson.wi.gov,
Trees for Tomorrow,45.92211177,-89.24488596,Eagle River,9-4 (Mon-Fri),N,N,Tom J Steffel,tomsteffel@usa.com,
North Lakeland Discovery Center,46.14807703,-89.89358139,Manitowish Waters,"10-2 (Tue-Sat), CLOSED (Sun-Mon)",N,N,Hannah Thorpe,hannah@discoverycenter.net,
EXCLUDE BELOW FOR MAPS,,,,,,,,,
UW-Extension,Multiple,Multiple,Multiple,Varies by station,N,Y,Becky Sapper,becky.sapper@wisc.edu,"This is the contact for Master Naturalist director. I wonder - if we could get Extension on board, then we could have access to regional offices across the state. https://counties.extension.wisc.edu/"
